市区町村コード,都道府県名,市区町村名,調査年月日,NO,学校名,学校名_かな,学校名_カナ,総児童数,通常学級_学級数_1年,通常学級_学級数_2年,通常学級_学級数_3年,通常学級_学級数_4年,通常学級_学級数_5年,通常学級_学級数_6年,通常学級_学級数_複式学級数,通常学級_児童数（総数）_1年,通常学級_児童数（男子）_1年,通常学級_児童数（女子）_1年,通常学級_児童数（総数）_2年,通常学級_児童数（男子）_2年,通常学級_児童数（女子）_2年,通常学級_児童数（総数）_3年,通常学級_児童数（男子）_3年,通常学級_児童数（女子）_3年,通常学級_児童数（総数）_4年,通常学級_児童数（男子）_4年,通常学級_児童数（女子）_4年,通常学級_児童数（総数）_5年,通常学級_児童数（男子）_5年,通常学級_児童数（女子）_5年,通常学級_児童数（総数）_6年,通常学級_児童数（男子）_6年,通常学級_児童数（女子）_6年,特別支援学級_学級数,特別支援学級_児童数（総数）,特別支援学級_児童数（男子）,特別支援学級_児童数（女子）,通級指導教室_学級数,通級指導教室_児童数（総数）,通級指導教室_児童数（男子）,通級指導教室_児童数（女子）,備考
401307,福岡県,福岡市,2019-05-01,103,片江,かたえ,カタエ,584,3,4,3,3,3,3,0,85,47,38,109,49,60,93,48,45,93,52,41,93,45,48,111,61,50,3,,,,,,,,
401307,福岡県,福岡市,2019-05-01,104,野芥,のけ,ノケ,679,4,3,4,4,3,3,0,121,72,49,100,51,49,118,65,53,117,57,60,103,48,55,120,69,51,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,105,西陵,せいりょう,セイリョウ,211,1,2,1,1,1,1,0,35,14,21,38,17,21,29,18,11,34,16,18,35,13,22,40,16,24,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,106,舞松原,まいまつばら,マイマツバラ,617,3,4,4,3,3,3,0,85,42,43,113,57,56,120,59,61,101,54,47,108,54,54,90,42,48,3,,,,,,,,
401307,福岡県,福岡市,2019-05-01,107,福浜,ふくはま,フクハマ,182,1,1,1,2,1,1,0,30,14,16,27,12,15,31,13,18,39,19,20,27,12,15,28,15,13,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,108,南片江,みなみかたえ,ミナミカタエ,663,3,4,4,4,3,3,0,105,53,52,129,69,60,119,64,55,112,65,47,102,60,42,96,45,51,4,,,,,,,,
401307,福岡県,福岡市,2019-05-01,109,大原,おおはら,オオハラ,407,2,3,2,2,2,2,0,54,26,28,77,36,41,55,26,29,76,36,40,71,37,34,74,42,32,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,110,香椎東,かしいひがし,カシイヒガシ,806,4,4,4,4,4,4,0,122,60,62,127,67,60,137,75,62,142,74,68,134,75,59,144,70,74,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,111,弥永西,やながにし,ヤナガニシ,457,3,3,3,3,2,2,0,88,56,32,74,30,44,73,34,39,79,43,36,67,26,41,76,37,39,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,112,東若久,ひがしわかひさ,ヒガシワカヒサ,538,3,3,3,3,2,3,0,101,49,52,83,47,36,100,58,42,84,54,30,72,41,31,98,50,48,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,113,四箇田,しかた,シカタ,422,2,3,2,2,2,2,0,60,25,35,72,38,34,71,31,40,67,35,32,69,32,37,83,43,40,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,114,壱岐東,いきひがし,イキヒガシ,148,1,1,1,1,1,1,0,20,14,6,32,13,19,16,6,10,26,16,10,30,15,15,24,13,11,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,115,石丸,いしまる,イシマル,569,3,3,3,3,3,3,0,89,41,48,106,42,64,91,52,39,95,53,42,99,45,54,89,52,37,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,116,鶴田,つるた,ツルタ,454,2,2,3,2,3,2,0,65,33,32,72,35,37,86,40,46,70,34,36,84,41,43,77,39,38,1,,,,,,,,
401307,福岡県,福岡市,2019-05-01,117,田島,たしま,タシマ,596,3,3,4,3,3,3,0,92,47,45,88,47,41,125,59,66,95,54,41,99,55,44,97,49,48,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,118,愛宕,あたご,アタゴ,681,3,3,4,4,4,3,0,104,53,51,98,47,51,111,49,62,122,65,57,129,70,59,117,55,62,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,119,福重,ふくしげ,フクシゲ,391,3,2,2,2,2,2,0,73,36,37,49,24,25,63,31,32,57,20,37,76,40,36,73,28,45,2,,,,,,,,
401307,福岡県,福岡市,2019-05-01,120,三筑,さんちく,サンチク,603,3,4,3,4,3,3,0,82,44,38,110,51,59,100,45,55,109,51,58,98,52,46,104,59,45,1,,,,,,,,
